Year,Day,Hour,Min,Bz,Vsw,Nsw,Psw,AE,SYM-H
2003,324,0,0,1.61,447.5,5.4,2.16,90,2
2003,324,0,1,0.63,447.5,5.57,2.23,50,1
2003,324,0,2,1.83,449.6,4.8,1.94,49,1
2003,324,0,3,2.31,447.9,5.0,2.01,44,1
2003,324,0,4,2.79,447.8,5.02,2.01,40,1
2003,324,0,5,2.32,449.3,4.94,1.99,30,1
2003,324,0,6,2.15,448.6,4.83,1.94,26,1
2003,324,0,7,2.19,450.4,4.63,1.88,26,1
2003,324,0,8,2.29,450.4,4.63,1.88,26,0
2003,324,0,9,1.33,,,,31,0
2003,324,0,10,2.92,450.0,5.31,2.15,31,0
2003,324,0,11,-0.37,449.8,5.33,2.16,28,0
2003,324,0,12,-1.17,449.5,4.73,1.91,30,0
2003,324,0,13,-1.76,449.0,5.26,2.12,26,-1
2003,324,0,14,-1.81,447.4,6.93,2.77,23,-1
2003,324,0,15,-2.12,446.9,6.52,2.6,27,-1
2003,324,0,16,-1.96,446.9,6.52,2.6,28,-1
2003,324,0,17,-2.52,,,,33,-1
2003,324,0,18,-1.82,450.0,4.95,2.0,33,-1
2003,324,0,19,-2.23,446.3,4.9,1.95,30,-1
2003,324,0,20,-1.09,449.8,5.78,2.34,29,-1
2003,324,0,21,-1.29,446.2,4.75,1.89,31,-1
2003,324,0,22,-1.43,446.4,4.61,1.84,34,-1
2003,324,0,23,-1.69,446.2,4.93,1.96,32,-2
2003,324,0,24,-1.37,446.4,5.23,2.08,32,-2
2003,324,0,25,0.06,,,,35,-2
2003,324,0,26,0.89,449.1,4.64,1.87,33,-2
2003,324,0,27,0.0,448.9,4.87,1.96,37,-2
2003,324,0,28,0.27,445.3,4.58,1.82,32,-2
2003,324,0,29,0.58,445.3,4.72,1.87,28,-2
2003,324,0,30,0.61,444.1,4.64,1.83,36,-3
2003,324,0,31,1.17,443.7,4.57,1.8,43,-3
2003,324,0,32,1.44,446.9,4.32,1.73,43,-3
2003,324,0,33,1.22,444.6,4.62,1.83,42,-3
2003,324,0,34,0.38,440.7,4.77,1.85,40,-3
2003,324,0,35,0.02,441.6,5.0,1.95,33,-2
2003,324,0,36,1.06,438.9,4.94,1.9,34,-2
2003,324,0,37,1.42,436.9,5.07,1.94,31,-2
2003,324,0,38,1.24,442.6,4.63,1.81,32,-2
2003,324,0,39,1.19,441.7,4.74,1.85,29,-2
2003,324,0,40,-0.55,438.3,5.17,1.99,30,-2
2003,324,0,41,-0.52,,,,34,-2
2003,324,0,42,-1.57,446.2,5.94,2.37,39,-3
2003,324,0,43,-1.43,452.2,5.4,2.21,35,-3
2003,324,0,44,-1.43,452.6,5.17,2.12,30,-3
2003,324,0,45,-1.46,451.5,4.72,1.92,33,-3
2003,324,0,46,-0.81,450.0,4.51,1.83,34,-3
2003,324,0,47,-1.21,450.4,5.57,2.26,31,-3
2003,324,0,48,-0.96,447.6,4.35,1.74,31,-3
2003,324,0,49,0.11,446.6,4.43,1.77,35,-3
2003,324,0,50,1.59,445.2,3.75,1.49,33,-3
2003,324,0,51,0.72,443.6,4.4,1.73,37,-3
2003,324,0,52,,443.2,4.56,1.79,40,-3
2003,324,0,53,,,,,35,-3
2003,324,0,54,1.27,,,,33,-4
2003,324,0,55,,,,,31,-3
2003,324,0,56,2.0,448.4,4.23,1.7,32,-3
2003,324,0,57,,448.4,4.23,1.7,31,-3
2003,324,0,58,,,,,29,-4
2003,324,0,59,,,,,29,-3
2003,324,1,0,0.53,,,,30,-4
2003,324,1,1,-0.22,453.7,5.44,2.24,34,-4
2003,324,1,2,-1.73,453.7,5.44,2.24,36,-4
2003,324,1,3,-1.38,450.3,6.74,2.73,38,-4
2003,324,1,4,-2.07,450.3,6.74,2.73,39,-4
2003,324,1,5,1.12,,,,39,-4
2003,324,1,6,-1.45,,,,36,-4
2003,324,1,7,1.15,,,,35,-4
2003,324,1,8,,,,,34,-4
2003,324,1,9,1.44,442.7,4.42,1.73,34,-4
2003,324,1,10,1.76,444.6,4.56,1.8,35,-4
2003,324,1,11,2.46,,,,36,-4
2003,324,1,12,2.63,,,,34,-4
2003,324,1,13,2.5,447.0,3.87,1.55,31,-4
2003,324,1,14,2.58,447.0,3.87,1.55,32,-4
2003,324,1,15,2.26,,,,37,-4
2003,324,1,16,2.78,,,,35,-4
2003,324,1,17,2.16,448.9,4.56,1.84,34,-4
2003,324,1,18,0.83,444.2,4.53,1.79,41,-4
2003,324,1,19,1.7,444.8,4.46,1.76,58,-4
2003,324,1,20,0.21,,,,58,-4
2003,324,1,21,0.21,442.6,4.54,1.78,61,-5
2003,324,1,22,0.58,444.5,4.56,1.8,51,-4
2003,324,1,23,-0.09,445.9,4.25,1.69,57,-4
2003,324,1,24,0.3,446.7,4.19,1.67,60,-4
2003,324,1,25,-0.62,447.6,4.55,1.82,62,-3
2003,324,1,26,-0.93,447.1,4.4,1.76,49,-3
2003,324,1,27,-0.3,447.6,4.25,1.7,45,-3
2003,324,1,28,-0.85,449.1,4.21,1.7,46,-3
2003,324,1,29,-0.22,446.5,4.53,1.81,47,-3
2003,324,1,30,-0.37,443.4,4.75,1.87,44,-3
2003,324,1,31,-0.14,444.8,4.64,1.84,42,-2
2003,324,1,32,-0.66,445.1,4.51,1.79,42,-3
2003,324,1,33,-1.21,445.8,4.87,1.94,41,-2
2003,324,1,34,-0.59,447.6,5.3,2.12,52,-3
2003,324,1,35,-0.52,444.9,5.0,1.98,43,-3
2003,324,1,36,-0.52,,,,43,-3
2003,324,1,37,-0.16,446.0,4.56,1.81,48,-2
2003,324,1,38,1.76,447.5,4.72,1.89,65,-2
2003,324,1,39,2.44,439.3,4.62,1.78,55,-2
2003,324,1,40,,439.3,4.62,1.78,61,-3
2003,324,1,41,3.25,443.9,4.71,1.86,57,-3
2003,324,1,42,4.28,451.6,5.86,2.39,51,-3
2003,324,1,43,4.49,452.0,5.86,2.39,58,-3
2003,324,1,44,4.56,452.8,5.17,2.12,58,-3
2003,324,1,45,4.53,453.5,4.82,1.98,53,-3
2003,324,1,46,4.62,452.3,5.0,2.05,48,-3
2003,324,1,47,4.45,452.3,5.0,2.05,49,-3
2003,324,1,48,4.37,448.6,5.22,2.1,52,-3
2003,324,1,49,4.34,449.1,5.3,2.14,50,-3
2003,324,1,50,4.49,450.9,5.56,2.26,44,-3
2003,324,1,51,4.6,451.5,5.71,2.33,50,-3
2003,324,1,52,4.14,451.5,5.71,2.33,68,-3
2003,324,1,53,4.14,,,,36,-3
2003,324,1,54,4.23,,,,31,-3
2003,324,1,55,3.39,452.2,5.58,2.28,28,-3
2003,324,1,56,4.23,452.2,5.58,2.28,27,-3
2003,324,1,57,3.31,446.4,6.01,2.4,27,-3
2003,324,1,58,3.29,446.4,6.01,2.4,27,-3
2003,324,1,59,3.31,,,,27,-3
2003,324,2,0,3.71,446.8,6.06,2.42,28,-3
2003,324,2,1,1.36,446.2,5.72,2.28,30,-3
2003,324,2,2,1.11,443.7,4.25,1.67,33,-3
2003,324,2,3,2.56,,,,24,-3
2003,324,2,4,0.99,442.0,4.57,1.79,24,-3
2003,324,2,5,1.19,441.9,4.57,1.78,25,-3
2003,324,2,6,0.98,440.6,4.5,1.75,30,-3
2003,324,2,7,1.03,441.3,4.33,1.69,28,-3
2003,324,2,8,1.15,,,,28,-3
2003,324,2,9,1.27,441.0,4.1,1.59,29,-4
2003,324,2,10,1.51,441.0,4.1,1.59,24,-4
2003,324,2,11,1.56,,,,26,-3
2003,324,2,12,1.81,440.4,4.73,1.83,22,-3
2003,324,2,13,1.72,440.7,4.79,1.86,22,-4
2003,324,2,14,1.87,440.7,4.85,1.88,21,-4
2003,324,2,15,1.87,440.7,4.85,1.88,26,-4
2003,324,2,16,1.46,440.7,4.85,1.88,28,-4
2003,324,2,17,1.54,,,,25,-4
2003,324,2,18,1.57,,,,39,-4
2003,324,2,19,1.87,439.3,5.13,1.98,43,-4
2003,324,2,20,2.23,439.3,5.13,1.98,23,-4
2003,324,2,21,1.91,439.4,4.99,1.93,24,-4
2003,324,2,22,2.22,439.4,4.99,1.93,24,-3
2003,324,2,23,1.77,,,,28,-3
2003,324,2,24,1.34,439.9,4.91,1.9,39,-2
2003,324,2,25,1.49,439.9,4.91,1.9,32,-2
2003,324,2,26,-0.03,444.1,4.16,1.64,39,-2
2003,324,2,27,0.79,441.9,4.65,1.82,52,-2
2003,324,2,28,-0.76,438.6,4.88,1.88,57,-2
2003,324,2,29,-1.25,440.4,4.73,1.83,49,-2
2003,324,2,30,-1.23,442.2,5.1,1.99,55,-2
2003,324,2,31,,,,,55,-2
2003,324,2,32,0.22,441.4,4.92,1.92,44,-2
2003,324,2,33,0.32,440.2,4.63,1.79,54,-2
2003,324,2,34,0.27,438.9,4.67,1.8,70,-2
2003,324,2,35,0.03,438.7,4.63,1.78,74,-2
2003,324,2,36,0.3,440.0,4.97,1.92,72,-3
2003,324,2,37,-0.26,441.5,5.4,2.11,66,-3
2003,324,2,38,-0.14,439.3,4.61,1.78,45,-3
2003,324,2,39,-0.07,437.3,4.95,1.89,44,-2
2003,324,2,40,-1.81,438.4,5.09,1.96,47,-2
2003,324,2,41,-3.72,452.8,6.76,2.77,40,-2
2003,324,2,42,-3.71,449.2,5.92,2.39,38,-2
2003,324,2,43,-3.03,,,,37,-2
2003,324,2,44,-2.71,440.3,4.88,1.89,46,-2
2003,324,2,45,-2.41,440.7,4.92,1.91,43,-2
2003,324,2,46,-2.55,441.4,4.98,1.94,42,-3
2003,324,2,47,-2.26,437.8,4.9,1.88,43,-3
2003,324,2,48,-1.72,439.9,5.24,2.03,43,-3
2003,324,2,49,-1.64,438.4,5.08,1.95,41,-3
2003,324,2,50,-1.64,435.4,4.95,1.88,45,-4
2003,324,2,51,-2.07,439.8,5.08,1.97,50,-4
2003,324,2,52,-2.75,438.8,4.66,1.79,48,-4
2003,324,2,53,-3.22,438.3,4.48,1.72,58,-5
2003,324,2,54,-3.01,439.0,4.96,1.91,49,-4
2003,324,2,55,-3.39,439.7,6.22,2.41,47,-5
2003,324,2,56,-3.7,439.7,6.22,2.41,55,-4
2003,324,2,57,-3.77,,,,57,-4
2003,324,2,58,-3.61,446.1,7.29,2.9,69,-4
2003,324,2,59,-3.52,441.7,5.45,2.13,75,-4
2003,324,3,0,-2.7,439.4,5.53,2.14,66,-3
